parent_id	display_label	raw_name	topic_ids
106		al_chad_camp_darfur_ethiopia	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]
105		al_ethiopia_human_united_nations	[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 48, 52, 53]
104		al_ethiopia_nations_united_migration	[3, 4, 7, 8, 9, 10, 15, 17, 19, 22, 23, 25, 28, 30, 32, 34, 35, 37, 39, 40, 41, 44, 45, 46, 48, 53]
103		al_chad_fasher_el_darfur	[0, 1, 2, 5, 11, 12, 18, 29, 38, 42, 47, 49, 50, 51]
102		immigration_al_human_trafficking_migrants	[6, 13, 14, 16, 20, 21, 24, 26, 27, 31, 33, 36, 43, 52]
101		al_trafficking_human_watch_video	[13, 16, 20, 21, 24, 26, 27, 31, 36, 52]
100		al_ethiopia_nations_united_gaza	[3, 4, 7, 8, 9, 10, 15, 17, 19, 22, 25, 28, 30, 32, 35, 37, 39, 40, 41, 44, 45, 48, 53]
99		ethiopia_nations_united_ethiopian_unhcr	[8, 9, 15, 22, 25, 30, 41]
98		trafficking_human_watch_al_video	[13, 16, 20, 21, 24, 27, 31, 36]
97		al_gaza_women_diaspora_schools	[3, 4, 7, 10, 17, 19, 28, 32, 35, 37, 39, 40, 44, 45, 48, 53]
96		gaza_women_al_diaspora_marginalization	[3, 10, 17, 28, 32, 35, 37, 39, 40, 44, 45, 48]
95		chad_al_health_darfur_humanitarian	[0, 2, 5, 11, 18, 29, 38, 42, 49, 50]
94		gaza_women_uganda_al_syrian	[3, 10, 35, 37, 39, 40, 45, 48]
93		diaspora_marginalization_al_muhammad_mahmoud	[17, 28, 32, 44]
92		trafficking_human_al_egyptian_expatriates	[13, 16, 20, 21, 31, 36]
91		nations_united_unicef_unhcr_children	[8, 15, 22, 25, 30]
90		gaza_women_uganda_syrian_bombing	[3, 10, 37, 39, 40, 45]
89		women_uganda_syrian_sexual_violence	[10, 39, 40]
88		egyptian_al_passports_expatriates_deport	[16, 20, 21, 31]
87		al_health_darfur_humanitarian_camp	[0, 2, 18, 29, 38, 42, 50]
86		gaza_bombing_bank_raid_yunis	[3, 37, 45]
85		schools_students_khartoum_nile_education	[4, 7, 19, 53]
84		women_uganda_sexual_violence_rape	[10, 40]
83		health_al_darfur_humanitarian_camp	[0, 2, 18, 42, 50]
82		marginalization_muhammad_mahmoud_issues_painful	[28, 44]
81		gaza_bombing_bank_yunis_raid	[3, 37]
80		schools_students_khartoum_education_nile	[4, 7, 53]
79		unicef_children_world_largest_millions	[22, 25, 30]
78		libya_libyan_accident_kufra_traffic	[35, 48]
77		boat_migrants_immigration_coast_tunisia	[6, 14, 33, 43]
76		health_darfur_humanitarian_al_north	[0, 2, 18, 50]
75		rains_al_floods_island_fasher	[29, 38]
74		millions_battles_months_internally_hate	[22, 30]
73		al_passports_expatriates_general_administration	[16, 31]
72		migration_organization_10_population_carrying	[23, 34, 46]
71		boat_migrants_coast_tunisia_illegal	[6, 14, 43]
70		diaspora_al_arabs_revolution_december	[17, 32]
69		al_rapid_fasher_el_army	[1, 12, 47, 51]
68		trafficking_human_network_rights_victims	[13, 36]
67		khartoum_omdurman_nile_sennar_blue	[4, 53]
66		health_darfur_al_humanitarian_hunger	[0, 2, 18]
65		egyptian_deport_deported_deports_public	[20, 21]
64		chad_aid_eastern_uae_chadian	[5, 11, 49]
63		nations_united_unhcr_commissioner_warns	[8, 15]
62		al_rapid_fasher_el_army	[1, 12, 51]
61		chad_eastern_uae_visits_chadian	[5, 11]
60		darfur_humanitarian_al_south_north	[2, 18]
59		immigration_illegal_european_union_immigrant	[14, 43]
58		ethiopia_ethiopian_olala_armed_forests	[9, 41]
57		border_crossing_customs_adre_crossings	[26, 52]
56		migration_organization_10_population_dongola	[23, 34]
55		al_rapid_fasher_el_army	[1, 12]
54		watch_video_photo_followers_saudi	[24, 27]
