topic_id	x	y	z
0	6.379591	-4.501703	4.5923285
1	5.47284	-3.9142652	2.9912198
2	6.4058304	-4.1819043	4.405699
3	5.2149463	-3.647831	3.0404263
4	5.360428	-4.2112956	4.3579955
5	5.938627	-4.410157	5.0376506
6	3.916988	-4.3018036	4.486706
7	4.94165	-4.1252565	4.981228
8	5.989546	-4.993568	3.9623215
9	5.9302025	-4.6603727	4.98277
10	6.0575523	-4.1011434	4.800159
11	5.543097	-5.235299	4.032583
12	5.8337436	-4.5163584	3.2224061
13	4.0486894	-4.2803493	4.957981
14	3.5096533	-4.254482	4.700392
15	5.833096	-4.6113796	5.421404
16	3.7917829	-4.427875	3.8713408
17	5.016437	-3.3912308	4.4510913
18	5.8919473	-3.1521523	3.7818062
19	4.9270315	-3.381085	3.7243655
20	3.9140732	-4.0998855	4.119719
21	4.407196	-3.843346	4.762093
22	6.2300854	-4.385004	3.5430899
23	5.6198993	-4.077198	5.509627
24	4.7516055	-4.14863	3.9853318
25	6.5593376	-4.3599586	4.8130426
26	3.6682546	-4.675172	4.0543847
27	5.011656	-4.1959615	4.0930386
28	5.2543077	-3.4872215	4.26463
29	5.890987	-3.3755426	4.027552
30	6.389948	-4.141274	4.9340315
31	3.545698	-4.332087	4.0558467
32	5.5686274	-4.214532	3.5117674
33	3.2622263	-4.1575966	4.681216
34	5.4132514	-4.3574047	5.661852
35	4.935218	-4.830736	3.679313
36	4.0012226	-3.8092809	4.345658
37	4.563557	-5.098806	4.367552
38	6.032068	-3.1733553	4.192651
39	4.726097	-3.0796933	4.0822153
40	5.9706864	-4.3379984	5.4538836
41	5.6632104	-4.872751	3.267102
42	5.174038	-3.4268422	3.2367692
43	3.3417833	-4.206172	4.829527
44	5.7318463	-2.9225638	3.7974932
45	6.183015	-3.3946607	3.537459
46	5.259985	-4.0166616	5.6288843
47	5.444647	-3.0702696	3.894231
48	5.3962235	-5.3096433	4.3876286
49	5.975266	-5.0586505	4.5163937
50	5.425772	-4.769565	3.7494605
51	5.994279	-4.2224903	3.2098818
52	5.4240584	-5.258051	3.594672
53	5.280158	-4.09628	5.2956977
