topic_id	x	y	z
0	-2.2203088	0.11912087	3.3321187
1	-8.357005	10.356162	9.798953
2	-2.2940361	0.18274465	3.276158
3	-8.195471	10.194914	9.985319
4	10.391284	8.26694	2.2966015
5	-3.0568652	0.64989465	3.341081
6	-5.497408	15.185914	1.6754131
7	10.230702	8.355743	2.4170442
8	-5.330536	14.232972	1.2970734
9	-3.2714596	0.84429884	3.4690275
10	-2.0099037	0.1579754	3.5220485
11	-5.288752	14.185379	1.510203
12	7.236079	-3.6867328	-2.3273766
13	-1.8958592	0.2283028	3.6242187
14	-5.442357	15.566667	1.8343503
15	-3.3957868	0.9745219	3.6543434
16	5.534696	17.2047	17.222843
17	12.766785	0.6371903	4.401171
18	-6.0578976	4.8859944	6.7610717
19	-8.421061	10.420228	9.731033
20	5.386282	17.07043	17.365522
21	5.4725623	16.597265	17.131489
22	7.084691	-3.5361164	-2.1763153
23	-3.3215203	0.82721275	2.6500807
24	10.775393	8.373183	2.2746766
25	-2.2316182	0.08192619	3.2163045
26	5.6685543	17.620909	17.390223
27	10.788652	8.386464	2.2769322
28	12.767419	0.6365014	4.4014325
29	-6.0775023	4.8661385	6.7806516
30	-3.1725712	0.71224797	2.9950547
31	5.647646	17.582392	17.388966
32	10.048241	8.573418	2.611836
33	-5.2772164	15.851592	2.016504
34	-3.3500454	0.85410595	2.6086528
35	-5.459418	14.853722	1.5862075
36	5.38498	17.074354	17.360777
37	-5.5014844	13.887852	0.98373973
38	-5.9966965	4.946435	6.699867
39	5.4810004	16.565554	17.114164
40	-3.1298413	0.71749866	3.4605567
41	7.3613377	-3.8116858	-2.4523044
42	-8.497539	10.496739	9.654162
43	-5.350654	15.756433	1.9444066
44	6.903512	-3.3550727	-1.9952043
45	6.9543386	-3.4058409	-2.045976
46	10.150635	8.032541	2.2074022
47	-5.853425	5.087124	6.556549
48	-5.4570646	13.9327545	1.0488651
49	-5.5512824	14.053605	1.555948
50	-5.167727	14.231052	1.4531366
51	7.266338	-3.7171643	-2.3578315
52	-5.225193	14.31846	1.5104548
53	10.213208	7.9819145	2.1525528
