id	chunk_text	n_words	topic_id	topic	media_name	media_url	url	title	body_en	language	publish_date
07582189213121d048f69df74c6d02306fb55af9908e3f63a384af41c58641f9	Sudanese refugees in Kufra face the harsh desert winter	9	5	5	alrakoba.net	alrakoba.net	https://www.alrakoba.net/32010811/%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%88%D9%86-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A%D9%88%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%83%D9%81%D8%B1%D8%A9-%D9%8A%D9%88%D8%A7%D8%AC%D9%87%D9%88/	اللاجئون السودانيون في الكفرة يواجهون الشتاء الصحراوي القاسي	Sudanese refugees in Kufra face the harsh desert winter	ar	2024-11-22
5860774ddaae70a8d048b9e2d3a64741a753bdd305716a96c3c1ba17f23cf8f9	The UAE enhances relief support for Sudanese refugees in Uganda	10	11	11	alrakoba.net	alrakoba.net	https://www.alrakoba.net/32010826/%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AA%D8%B9%D8%B2%D8%B2-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%A5%D8%BA%D8%A7%D8%AB%D9%8A-%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D8%A7/	الإمارات تعزز الدعم الإغاثي للاجئين السودانيين في أوغندا	The UAE enhances relief support for Sudanese refugees in Uganda	ar	2024-11-22
663df62cdb1eeea971e9212466b3d2d51d1988a0f702c387944c5fa848c4c3de	The UAE provides 30,000 food baskets to relief Sudanese refugees	10	-1	-1	alrakoba.net	alrakoba.net	https://www.alrakoba.net/32010528/%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AA%D9%82%D8%AF%D9%85-30-%D8%A3%D9%84%D9%81-%D8%B3%D9%84%D8%A9-%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9-%D9%84%D8%A5%D8%BA%D8%A7%D8%AB%D8%A9-%D8%A7/	الإمارات تقدم 30 ألف سلة غذائية لإغاثة اللاجئين السودانيين	The UAE provides 30,000 food baskets to relief Sudanese refugees	ar	2024-11-21
6a21d294ce038c8915aa5815d5c26180e1aba09a173569909bd185558192ed80	Sudanese refugees in Libya: a bleak picture and an unknown fate	11	5	5	alrakoba.net	alrakoba.net	https://www.alrakoba.net/32010617/%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%88%D9%86-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A%D9%88%D9%86-%D9%81%D9%8A-%D9%84%D9%8A%D8%A8%D9%8A%D8%A7-%D8%B5%D9%88%D8%B1%D8%A9-%D9%82%D8%A7%D8%AA/	اللاجئون السودانيون في ليبيا.. صورة قاتمة ومصير مجهول	Sudanese refugees in Libya: a bleak picture and an unknown fate	ar	2024-11-21
771fc4f701a7f95faf9afce42390dbf7ac83aa3a17395b81f9e80ea8d513d0a3	Dissatisfaction among Sudanese refugees with humanitarian organizations in Chad	9	-1	-1	alrakoba.net	alrakoba.net	https://www.alrakoba.net/32010633/%D8%A7%D8%B3%D8%AA%D9%8A%D8%A7%D8%A1-%D9%88%D8%B3%D8%B7-%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A%D9%8A%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D9%85/	استياء وسط اللاجئين السودانيين من المنظمات الانسانية في تشاد	Dissatisfaction among Sudanese refugees with humanitarian organizations in Chad	ar	2024-11-21
9c8e0681d4b7dc8117bb8a9b22149f32c2c04ae9cb1e1c7f3d6b8101075f8535	Mubarak Al-Fadil: The Sudanese people have fallen victim to the international conflict and are bleeding and displaced without pain	19	32	32	alnilin.com	alnilin.com	https://www.alnilin.com/13361523.htm	مبارك الفاضل: الشعب السوداني وقع ضحية الصراع الدولي وهو ينزف وينزح دون وجيع	Mubarak Al-Fadil: The Sudanese people have fallen victim to the international conflict and are bleeding and displaced without pain	ar	2024-11-21
cafa7788b962dca31f4990799a372f9903c2f5094f21f508ec2fe861609599c1	Guardian: Sudanese refugees live in a forest in Ethiopia to escape murder	12	9	9	alrakoba.net	alrakoba.net	https://www.alrakoba.net/32010680/%D8%BA%D8%A7%D8%B1%D8%AF%D9%8A%D8%A7%D9%86-%D9%84%D8%A7%D8%AC%D8%A6%D9%88%D9%86-%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A%D9%88%D9%86-%D9%8A%D8%B9%D9%8A%D8%B4%D9%88%D9%86-%D8%AF%D8%A7%D8%AE%D9%84-%D8%BA/	غارديان: لاجئون سودانيون يعيشون داخل غابة بإثيوبيا فرارا من القتل	Guardian: Sudanese refugees live in a forest in Ethiopia to escape murder	ar	2024-11-21
cd4a51556c7b0cfe1d7bff305b2a1c49f960b6754d38344518df1e01922927ea	The German government intends to support a project to integrate Sudanese refugees in Chad	14	11	11	alrakoba.net	alrakoba.net	https://www.alrakoba.net/32010686/%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A9-%D8%AA%D8%B9%D8%AA%D8%B2%D9%85-%D8%AF%D8%B9%D9%85-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%84%D8%AF%D9%85/	الحكومة الألمانية تعتزم دعم مشروع لدمج اللاجئين السودانيين في تشاد	The German government intends to support a project to integrate Sudanese refugees in Chad	ar	2024-11-21
d0c27d9b2d8b0b11a0f56a0dba3d70f2c2e120de9e976edb4d25254711427802	A British newspaper reveals the conditions of Sudanese refugees in Ethiopia	11	9	9	sudantimes.net	sudantimes.net	https://sudantimes.net/2024/11/21/%D8%AC%D8%B1%D9%8A%D8%AF%D8%A9-%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A%D8%A9-%D8%AA%D9%83%D8%B4%D9%81-%D8%A3%D9%88%D8%B6%D8%A7%D8%B9-%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D8%A7%D9%84/	جريدة بريطانية تكشف أوضاع اللاجئين السودانيين في اثيوبيا	A British newspaper reveals the conditions of Sudanese refugees in Ethiopia	ar	2024-11-21
ea31ff23e5a2eeaef239d21f242264f25d13e61f922924295d5c83c0ccb67f62	Watch the video.. Sudanese beauties ignite the Riyadh season with a sexy dance number with “the neck” and sarcastically: (There are now expatriates and no more visits)	27	24	24	alnilin.com	alnilin.com	https://www.alnilin.com/13361690.htm	"""شاهد بالفيديو.. حسناوات سودانيات يشعلن موسم الرياض بوصلة رقص مثيرة بــ""""الرقبة"""" وساخرون: (هسا ديل مغتربات ولا زيارات ساي)"""	Watch the video.. Sudanese beauties ignite the Riyadh season with a sexy dance number with “the neck” and sarcastically: (There are now expatriates and no more visits)	ar	2024-11-21
