Topic	Count	Name	Representation	Representative_Docs
-1	839	-1_shelter_darfur_kassala_nile	['shelter', 'darfur', 'kassala', 'nile', 'persons', 'aid', 'el', 'east', 'humanitarian', 'island', 'migration', 'crisis']	
0	132	0_health_doctors_malnutrition_disease	['health', 'doctors', 'malnutrition', 'disease', 'hospital', 'diseases', 'chad', 'eastern', 'services', 'medical', 'world', 'cases']	
1	89	1_rapid_fasher_el_artillery	['rapid', 'fasher', 'el', 'artillery', 'shelling', 'killed', 'attack', 'army', 'wave', 'wad', 'attacks', 'shouk']	
2	85	2_darfur_humanitarian_north_south	['darfur', 'humanitarian', 'north', 'south', 'hunger', 'camp', 'camps', 'feed', 'aid', 'situation', 'children', 'starvation']	
3	81	3_gaza_bombing_raid_yunis	['gaza', 'bombing', 'raid', 'yunis', 'tents', 'khan', 'killed', 'bank', 'west', 'camp', 'rejects', 'targeting']	
4	75	4_khartoum_omdurman_sennar_homes	['khartoum', 'omdurman', 'sennar', 'homes', 'electricity', 'nile', 'neighborhoods', 'citizens', 'return', 'governor', 'families', 'hundreds']	
5	72	5_chad_libya_tragic_kufra	['chad', 'libya', 'tragic', 'kufra', 'live', 'suffering', 'arduous', 'eastern', 'camps', 'face', 'awaiting', 'standards']	
6	71	6_boat_migrants_coast_migrant	['boat', 'migrants', 'coast', 'migrant', 'tunisia', 'missing', 'sank', 'african', 'tunisian', 'bodies', 'sfax', 'islands']	
7	71	7_schools_students_education_university	['schools', 'students', 'education', 'university', 'school', 'certificate', 'educational', 'alternative', 'expatriates', 'year', 'egyptian', 'children']	
8	69	8_nations_united_warns_conflict	['nations', 'united', 'warns', 'conflict', 'calls', 'result', 'secretarygeneral', 'left', 'violence', 'urgent', 'clashes', 'alarming']	
9	63	9_ethiopia_ethiopian_forests_olala	['ethiopia', 'ethiopian', 'forests', 'olala', 'rights', 'forest', 'watch', 'attacks', 'complaints', 'security', 'human', 'camps']	
10	62	10_women_sexual_rape_violence	['women', 'sexual', 'rape', 'violence', 'raped', 'girls', 'woman', 'protection', 'kidnapping', 'official', 'cases', 'suffering']	
11	62	11_chad_uae_visits_delegation	['chad', 'uae', 'visits', 'delegation', 'chadian', 'eastern', 'aid', 'discusses', 'camp', 'address', 'official', 'arrive']	
12	58	12_army_clashes_kordofan_battles	['army', 'clashes', 'kordofan', 'battles', 'result', 'darfur', 'rapid', 'north', 'south', 'nyala', 'violent', 'forces']	
13	52	13_trafficking_human_network_victims	['trafficking', 'human', 'network', 'victims', 'police', 'workshop', 'combating', 'justice', 'arrested', 'money', 'exchange', 'combat']	
14	46	14_immigration_illegal_european_union	['immigration', 'illegal', 'european', 'union', 'asylum', 'law', 'britain', 'rwanda', 'europe', 'seekers', 'tunisia', 'agreement']	
15	39	15_unhcr_commissioner_high_influx	['unhcr', 'commissioner', 'high', 'influx', 'protection', 'aswan', 'nations', 'south', 'violation', 'emergency', 'united', 'appeal']	
16	37	16_expatriates_kuwait_violators_hajj	['expatriates', 'kuwait', 'violators', 'hajj', 'deporting', 'foreigners', 'preventing', 'expensive', 'saudi', 'residency', 'expatriate', 'arabia']	
17	34	17_diaspora_freedom_revolution_arabs	['diaspora', 'freedom', 'revolution', 'arabs', 'change', 'project', 'dream', 'slogan', 'december', 'generosity', 'learn', 'cleansing']	
18	33	18_locality_el_marra_jebel	['locality', 'el', 'marra', 'jebel', 'fasher', 'suffering', 'dinder', 'shelter', 'line', 'harsh', 'humanitarian', 'tragic']	
19	33	19_ramadan_eid_zakat_prices	['ramadan', 'eid', 'zakat', 'prices', 'aladha', 'decline', 'god', 'priority', 'sadness', 'giving', 'joy', 'family']	
20	32	20_egyptian_deports_public_deport	['egyptian', 'deports', 'public', 'deport', 'deported', 'authorities', 'interior', 'arqin', 'receives', 'residency', 'violates', '700']	
21	32	21_registered_draft_egyptian_nationality	['registered', 'draft', 'egyptian', 'nationality', 'incitement', 'harsh', 'long', 'highest', 'campaigns', 'deport', 'difficulties', 'receiving']	
22	31	22_millions_reaches_hate_hell	['millions', 'reaches', 'hate', 'hell', 'sudans', '2023', 'destruction', 'battles', 'end', 'clashes', 'months', 'civilians']	
23	30	23_migration_10_population_internal	['migration', '10', 'population', 'internal', 'organization', 'western', 'conflict', 'world', 'result', 'largest', 'start', 'witnessing']	
24	28	24_watch_video_famous_dance	['watch', 'video', 'famous', 'dance', 'surprises', 'friend', 'ahmed', 'arabia', 'followers', 'expatriate', 'country', 'saudi']	
25	27	25_unicef_children_child_largest	['unicef', 'children', 'child', 'largest', 'world', 'crisis', 'witnessing', 'age', 'caused', '28', 'danger', 'days']	
26	26	26_border_crossing_sovereignty_customs	['border', 'crossing', 'sovereignty', 'customs', 'crossings', 'adre', 'closure', 'council', 'inspects', 'director', 'jibril', 'decides']	
27	23	27_watch_video_photo_girl	['watch', 'video', 'photo', 'girl', 'girls', 'followers', 'young', 'saudi', 'expatriate', 'expatriates', 'asks', 'message']	
28	23	28_marginalization_muhammad_mahmoud_issues	['marginalization', 'muhammad', 'mahmoud', 'issues', 'written', 'identity', 'passed', 'wants', 'away', 'struggle', 'ibrahim', '15']	
29	22	29_rains_floods_island_waves	['rains', 'floods', 'island', 'waves', 'heavy', 'torrential', 'thousand', 'levels', 'stories', 'tell', 'horrific', 'tawila']	
30	22	30_internally_statistics_quarter_record	['internally', 'statistics', 'quarter', 'record', 'reports', 'forcibly', 'regarding', 'approaching', '328', 'studying', '70', 'map']	
31	22	31_passports_administration_general_immigration	['passports', 'administration', 'general', 'immigration', 'expatriates', 'agency', 'service', 'abroad', 'authority', 'organizes', 'department', 'discusses']	
32	20	32_khartoum_battle_marches_expropriation	['khartoum', 'battle', 'marches', 'expropriation', 'lands', 'diaspora', 'wadi', 'despite', 'arabs', 'halfa', 'decided', 'victim']	
33	19	33_immigrants_biden_immigration_threatens	['immigrants', 'biden', 'immigration', 'threatens', 'absorb', 'disabled', 'bidens', 'announce', 'americas', 'tighten', 'deal', 'deprives']	
34	19	34_organization_migration_dongola_assistance	['organization', 'migration', 'dongola', 'assistance', 'distribute', 'arrivals', 'partners', 'cash', 'provides', 'aid', 'locality', 'wadi']	
35	19	35_libya_libyan_accident_kufra	['libya', 'libyan', 'accident', 'kufra', 'traffic', 'divided', 'claims', 'confront', 'preparing', 'house', 'lives', 'tragic']	
36	18	36_rights_stop_human_deporting	['rights', 'stop', 'human', 'deporting', 'authorities', 'expulsion', 'accuses', 'group', 'calls', 'violations', 'egyptian', 'migrants']	
37	18	37_bank_money_prohibits_billion	['bank', 'money', 'prohibits', 'billion', 'central', 'egyptian', 'originate', 'production', 'granting', 'commodity', 'economic', 'flight']	
38	17	38_distribute_pictures_volunteers_fasher	['distribute', 'pictures', 'volunteers', 'fasher', 'el', 'launching', 'basket', 'program', 'inauguration', 'cash', 'shelters', 'food']	
39	17	39_syrian_lebanon_issue_lebanese	['syrian', 'lebanon', 'issue', 'lebanese', 'elections', 'syrians', 'fear', '2023', 'voluntary', 'return', 'deportation', 'guests']	
40	17	40_uganda_integration_difficulties_complain	['uganda', 'integration', 'difficulties', 'complain', 'despite', 'poor', 'suffering', 'safe', 'kriandingo', 'disabled', 'obtain', 'kampala']	
41	16	41_armed_attack_ethiopia_ethiopian	['armed', 'attack', 'ethiopia', 'ethiopian', 'stuck', 'eritrean', 'comer', 'killed', 'second', 'crises', 'near', 'camp']	
42	15	42_alburhan_siege_reception_protest	['alburhan', 'siege', 'reception', 'protest', 'use', 'mashad', 'gedaref', 'life', 'inspects', 'alhamidiya', 'alhuri', 'alnahda']	
43	15	43_immigration_illegal_economy_immigrants	['immigration', 'illegal', 'economy', 'immigrants', 'causes', 'america', 'does', 'immigrant', 'enemy', 'grants', 'random', 'colombia']	
44	14	44_painful_confronting_tragedy_issues	['painful', 'confronting', 'tragedy', 'issues', 'systematic', 'human', 'far', 'survival', 'besieged', 'horror', 'away', 'occupation']	
45	14	45_increased_half_result_holocaust	['increased', 'half', 'result', 'holocaust', '58', 'positive', '48', 'situations', 'survived', 'april', 'testimony', 'happened']	
46	13	46_migration_carrying_african_season	['migration', 'carrying', 'african', 'season', 'marra', 'jebel', '12', '22', 'victim', 'africans', 'dangerous', 'tribes']	
47	11	47_wave_residents_fasher_el	['wave', 'residents', 'fasher', 'el', 'east', 'survey', 'alsuki', '18', 'invasion', 'muya', 'mount', 'alfula']	
48	11	48_dollars_16_pounds_agency	['dollars', '16', 'pounds', 'agency', 'libya', '100000', 'provision', 'wins', 'raise', '18', 'prize', 'global']	
49	10	49_food_chad_stop_aid	['food', 'chad', 'stop', 'aid', 'suffer', 'program', 'famine', 'water', 'verge', 'deadly', 'epidemics', 'expired']	
50	10	50_governor_urgent_visit_need	['governor', 'urgent', 'visit', 'need', 'darfur', 'north', 'provide', 'steps', 'reassures', '135000', 'kassab', 'scenes']	
51	10	51_battles_nyala_civilians_coexistence	['battles', 'nyala', 'civilians', 'coexistence', 'dangerous', 'es', 'regional', 'survival', 'salaam', 'dagalo', 'residents', 'houses']	
52	10	52_border_crossing_accuses_ignoring	['border', 'crossing', 'accuses', 'ignoring', 'ndjamena', 'control', 'geneva', 'ambassador', 'talks', 'welcome', 'chad', 'adre']	
53	10	53_nile_blue_returnees_white	['nile', 'blue', 'returnees', 'white', 'arrival', 'needs', 'south', 'region', 'areas', '60000', 'flows', 'karta']	
