Topic	Words	Frequency	Timestamp
-1	hemedti, persons, coordination, darfur, al	37	2023-01-01 07:26:24
0	switzerland, pledges, doctors, providing, continue	2	2023-01-01 07:26:24
1	qalabat, rejection, weapons, intelligence, widespread	2	2023-01-01 07:26:24
2	southern, threatens, lives, hunger, darfur	1	2023-01-01 07:26:24
4	inventory, transfer, arrangements, committee, khartoum	1	2023-01-01 07:26:24
5	land, boat, chad, libya, tragic	1	2023-01-01 07:26:24
7	university, reasons, students, schools, increasing	2	2023-01-01 07:26:24
8	provides, blue, nations, united, nile	1	2023-01-01 07:26:24
10	condemns, rape, woman, coordination, killing	1	2023-01-01 07:26:24
12	statistics, 2022, warn, 991, night	4	2023-01-01 07:26:24
13	trafficking, human, network, combating, workshop	12	2023-01-01 07:26:24
15	unhcr, appeal, help, opportunities, 41	3	2023-01-01 07:26:24
16	workers, abroad, arab, violators, view	4	2023-01-01 07:26:24
17	december, diaspora, revolution, writes, anniversary	2	2023-01-01 07:26:24
19	come, zakat, texts, view, allocating	3	2023-01-01 07:26:24
27	photo, watch, video, works, pays	2	2023-01-01 07:26:24
33	york, mocks, place, america, immigrants	2	2023-01-01 07:26:24
36	hand, issued, preparing, rights, cairo	1	2023-01-01 07:26:24
42	reveal, al, deteriorating, continued, attacks	1	2023-01-01 07:26:24
43	investments, immigration, 700, free, month	2	2023-01-01 07:26:24
46	dangerous, africans, huge, rates, migration	1	2023-01-01 07:26:24
48	dollars, white, south, nile, 16	3	2023-01-01 07:26:24
50	finance, visit, regarding, minister, south	1	2023-01-01 07:26:24
52	customs, delegation, inspects, crossings, border	1	2023-01-01 07:26:24
-1	earthquake, return, al, importance, turkey	28	2023-02-01 00:00:00
0	interventions, returnees, services, health, provide	1	2023-02-01 00:00:00
2	listens, francis, pope, poverty, hunger	1	2023-02-01 00:00:00
4	unity, said, 418, immigrated, donates	3	2023-02-01 00:00:00
5	resettlement, demand, difficult, living, chad	2	2023-02-01 00:00:00
6	migrants, boat, tunisia, coast, african	8	2023-02-01 00:00:00
7	enters, higher, educational, students, education	3	2023-02-01 00:00:00
10	women, igad, complaining, arresting, local	3	2023-02-01 00:00:00
11	minawi, fund, committees, sovereignty, return	2	2023-02-01 00:00:00
12	injured, central, killed, darfur, army	1	2023-02-01 00:00:00
13	trafficking, human, mastermind, police, operations	4	2023-02-01 00:00:00
14	prosecution, prize, peace, tunisia, migrant	2	2023-02-01 00:00:00
15	delivering, clear, progress, ethiopian, persons	1	2023-02-01 00:00:00
16	sparked, having, kuwait, abu, prosecution	3	2023-02-01 00:00:00
17	slogan, al, diaspora, freedom, revolution	1	2023-02-01 00:00:00
18	capital, locality, el, marra, jebel	1	2023-02-01 00:00:00
19	host, gedaref, ramadan, eid, zakat	1	2023-02-01 00:00:00
27	bus, makes, haven, asked, girl	1	2023-02-01 00:00:00
31	passports, determine, turkey, continuous, pay	2	2023-02-01 00:00:00
34	improving, fund, organization, office, migration	2	2023-02-01 00:00:00
36	sentences, moroccan, rights, association, prison	1	2023-02-01 00:00:00
39	transporting, earthquake, syrians, department, denies	1	2023-02-01 00:00:00
43	causes, illegal, social, immigration, economy	2	2023-02-01 00:00:00
48	dollars, raise, billion, plan, half	1	2023-02-01 00:00:00
-1	canada, persons, return, voluntary, justice	16	2023-03-03 00:00:00
3	kill, raid, bank, west, forces	1	2023-03-03 00:00:00
5	determine, generosity, events, hosting, assistant	3	2023-03-03 00:00:00
6	tunisia, boat, migrants, coast, sank	10	2023-03-03 00:00:00
7	eviction, subjected, university, students, forced	1	2023-03-03 00:00:00
8	30, violence, dead, nations, united	1	2023-03-03 00:00:00
10	women, demanding, protection, rape, complain	2	2023-03-03 00:00:00
11	al, community, countries, chad, uae	1	2023-03-03 00:00:00
13	trafficking, human, justice, ministry, combating	5	2023-03-03 00:00:00
14	law, draft, violates, british, describes	1	2023-03-03 00:00:00
16	russian, standing, mount, arabia, saudi	2	2023-03-03 00:00:00
17	emigrating, phenomenon, december, leaders, revolution	1	2023-03-03 00:00:00
18	reconstruction, geneina, provides, locality, aid	1	2023-03-03 00:00:00
19	surprise, awaits, ramadan, person, needs	1	2023-03-03 00:00:00
20	arbitrarily, afghan, detains, uae, seekers	1	2023-03-03 00:00:00
23	tensions, migration, burning, west, locality	2	2023-03-03 00:00:00
24	day, watch, video, surprises, arabi	2	2023-03-03 00:00:00
26	customs, border, crossings, triangle, crossing	3	2023-03-03 00:00:00
27	decided, airport, widely, farewell, tears	1	2023-03-03 00:00:00
32	expropriation, lands, wadi, halfa, protests	2	2023-03-03 00:00:00
37	abbas, expatriation, writes, money, bank	1	2023-03-03 00:00:00
39	syrian, syria, voluntary, country, return	1	2023-03-03 00:00:00
43	crashed, italy, dream, girl, end	1	2023-03-03 00:00:00
44	death, painful, confronting, tragedy, issues	1	2023-03-03 00:00:00
50	steps, regional, taking, announces, government	1	2023-03-03 00:00:00
53	blue, nile, arrival, returnees, 60	4	2023-03-03 00:00:00
-1	europe, called, mubarak, secretary, al	18	2023-04-02 00:00:00
0	40, collapse, warnings, fled, unhcr	1	2023-04-02 00:00:00
4	southern, arrival, white, fleeing, khartoum	1	2023-04-02 00:00:00
5	divided, family, agreement, borders, demands	1	2023-04-02 00:00:00
6	migrants, sfax, coast, african, boat	5	2023-04-02 00:00:00
7	salaam, es, dar, localities, training	1	2023-04-02 00:00:00
8	avoid, peace, efforts, urgent, nations	1	2023-04-02 00:00:00
11	arrive, outbreak, fighting, chad, uae	3	2023-04-02 00:00:00
