Topic	Words	Frequency	Class
-1	al, rebel, government, militia, high	37	alsudaninews.com
0	health, world, community, forgotten, level	4	alsudaninews.com
1	militia, assassinated, committees, resistance, widespread	2	alsudaninews.com
2	trucks, denies, humanitarian, way, reports	2	alsudaninews.com
4	al, force, police, schools, locality	1	alsudaninews.com
7	students, effort, education, nation, deprives	4	alsudaninews.com
8	nations, united, led, secretary, general	3	alsudaninews.com
10	prosecutor, women, sexual, subjected, public	1	alsudaninews.com
11	special, reaches, denounces, visits, cairo	3	alsudaninews.com
14	mediterranean, forum, participation, hosts, european	1	alsudaninews.com
15	unhcr, response, influx, plan, launching	4	alsudaninews.com
16	permits, preventing, fees, fines, arabia	3	alsudaninews.com
17	forum, national, expatriates, diaspora, freedom	1	alsudaninews.com
18	farm, dinder, mirghani, businessman, preparing	1	alsudaninews.com
19	priority, giving, zakat, ramadan, program	1	alsudaninews.com
20	public, reasons, syrians, decides, deport	1	alsudaninews.com
21	registered, buses, reaching, waiting, rate	2	alsudaninews.com
23	migration, population, conflicts, leads, quarter	4	alsudaninews.com
25	children, unicef, atrocities, child, 300	3	alsudaninews.com
26	adre, crossing, border, sovereignty, closure	2	alsudaninews.com
29	sweeps, 73, rains, heavy, floods	2	alsudaninews.com
32	al, twice, militia, federal, expelled	2	alsudaninews.com
35	accident, traffic, libyan, claims, kufra	2	alsudaninews.com
37	prohibits, bank, billion, approximately, authority	2	alsudaninews.com
-1	al, darfur, island, rapid, east	41	sudantribune.net
0	outbreak, deaths, east, water, eastern	11	sudantribune.net
1	rapid, fasher, el, army, attacks	16	sudantribune.net
2	darfur, north, early, survey, forced	8	sudantribune.net
4	sennar, khartoum, sinjah, markets, rain	5	sudantribune.net
5	situations, equality, deteriorated, members, demonstrate	4	sudantribune.net
7	schools, atbara, refused, removing, evacuated	3	sudantribune.net
8	nations, united, nyala, dead, counts	4	sudantribune.net
9	ethiopia, complaints, ethiopian, set, miserable	7	sudantribune.net
10	women, doubles, girls, sexual, raped	14	sudantribune.net
11	uae, aid, chad, strategy, solve	5	sudantribune.net
12	kordofan, nyala, army, flowed, confrontations	5	sudantribune.net
13	trafficking, human, restrictions, ransom, advisor	3	sudantribune.net
14	sign, european, agreement, union, arrangements	1	sudantribune.net
15	unhcr, 41, partners, 52, monitors	3	sudantribune.net
18	60, flee, shouk, force, violations	1	sudantribune.net
19	situations, complex, ramadan, facing, river	1	sudantribune.net
20	obtaining, despite, deport, authorities, egyptian	1	sudantribune.net
21	morocco, al, harsh, immigrants, registered	1	sudantribune.net
23	10, migration, worsening, exceeds, disease	2	sudantribune.net
25	unicef, children, deprived, care, caused	2	sudantribune.net
26	border, crossing, demands, sovereignty, closure	3	sudantribune.net
29	torrential, rains, rainwater, floods, stories	3	sudantribune.net
30	exceeds, 10, internally, statistics, quarter	1	sudantribune.net
32	marches, al, bombing, wave, result	1	sudantribune.net
36	stop, 27, rights, deporting, violations	2	sudantribune.net
40	uganda, disabled, grant, elderly, complain	2	sudantribune.net
41	ethiopian, ransom, stranded, attack, second	3	sudantribune.net
42	storm, shindi, demonstrate, protest, inspects	2	sudantribune.net
45	holocaust, survived, testimony, happened, look	1	sudantribune.net
48	dollars, white, south, nile, 16	1	sudantribune.net
49	medicine, suffer, water, food, lack	1	sudantribune.net
50	need, assistance, governor, urgent, north	1	sudantribune.net
51	white, attack, wave, villages, nile	1	sudantribune.net
52	ignoring, accuses, ambassador, control, border	1	sudantribune.net
-1	al, darfur, shelter, el, fasher	444	alrakoba.net
0	health, malnutrition, doctors, diseases, chad	75	alrakoba.net
1	fasher, rapid, el, artillery, shelling	47	alrakoba.net
2	darfur, humanitarian, south, north, hunger	54	alrakoba.net
3	gaza, bombing, yunis, raid, khan	72	alrakoba.net
4	omdurman, khartoum, sennar, nile, homes	39	alrakoba.net
5	chad, libya, kufra, suffering, eastern	49	alrakoba.net
6	boat, coast, migrants, migrant, tunisia	54	alrakoba.net
7	schools, students, education, school, university	37	alrakoba.net
8	nations, united, warns, conflict, calls	39	alrakoba.net
9	ethiopia, ethiopian, forests, olala, rights	39	alrakoba.net
10	women, rape, sexual, violence, raped	37	alrakoba.net
11	chad, visits, uae, eastern, camp	33	alrakoba.net
12	clashes, result, army, kordofan, battles	41	alrakoba.net
13	trafficking, human, network, police, victims	31	alrakoba.net
14	immigration, illegal, european, asylum, britain	35	alrakoba.net
15	unhcr, commissioner, high, influx, aswan	19	alrakoba.net
16	al, expatriates, expensive, arab, saudi	17	alrakoba.net
17	diaspora, arab, learn, generosity, ethnic	12	alrakoba.net
18	el, marra, jebel, locality, fasher	24	alrakoba.net
19	ramadan, eid, prices, joy, decline	16	alrakoba.net
20	egyptian, authorities, deport, deported, deports	11	alrakoba.net
21	receiving, providing, registered, crossings, nationality	12	alrakoba.net
22	millions, battles, hell, clashes, months	25	alrakoba.net
23	migration, western, result, clashes, 10	12	alrakoba.net
24	arrests, ago, famous, ban, training	4	alrakoba.net
25	unicef, children, child, largest, world	15	alrakoba.net
26	border, crossing, qalabat, crossings, flow	8	alrakoba.net
28	marginalization, mahmoud, muhammad, issues, identity	12	alrakoba.net
29	island, rains, waves, heavy, floods	12	alrakoba.net
30	statistics, studying, map, 328, approaching	9	alrakoba.net
31	general, visa, jibril, today, agency	2	alrakoba.net
32	khartoum, marches, expropriation, protests, lands	5	alrakoba.net
33	biden, immigrants, immigration, america, presidential	11	alrakoba.net
34	organization, migration, dongola, partners, arrivals	6	alrakoba.net
35	libya, libyan, kufra, accident, traffic	13	alrakoba.net
36	rights, stop, human, deporting, expulsion	12	alrakoba.net
37	bank, prohibits, production, flight, switzerland	8	alrakoba.net
38	launching, fasher, el, distribute, basket	7	alrakoba.net
39	syrian, lebanon, issue, elections, fear	13	alrakoba.net
40	uganda, integration, obtain, kampala, kriandingo	7	alrakoba.net
41	armed, attack, ethiopia, eritrean, ethiopian	10	alrakoba.net
42	al, siege, use, gedaref, protest	8	alrakoba.net
43	immigration, illegal, causes, does, economy	10	alrakoba.net
44	painful, tragedy, confronting, survival, horror	8	alrakoba.net
45	increased, result, positive, situations, april	12	alrakoba.net
46	season, migration, tribes, hague, africans	6	alrakoba.net
47	wave, jazira, fasher, el, survey	8	alrakoba.net
48	dollars, pounds, raise, confront, billion	5	alrakoba.net
49	food, chad, famine, stop, verge	6	alrakoba.net
50	governor, urgent, provide, steps, darfur	5	alrakoba.net
51	battles, nyala, civilians, dangerous, salaam	7	alrakoba.net
52	border, accuses, crossing, ignoring, suspending	4	alrakoba.net
53	blue, nile, returnees, arrival, needs	8	alrakoba.net
-1	al, gulf, arab, floods, countries	44	sudanile.com
0	health, disease, hunger, world, fled	7	sudanile.com
1	al, jazeera, civilians, kamal, happening	4	sudanile.com
2	homeless, sinar, denies, humanitarian, reports	2	sudanile.com
4	sennar, misleading, mount, muya, rain	3	sudanile.com
5	relief, crisis, chad, libya, tragic	1	sudanile.com
6	france, deports, cross, immigrant, capital	2	sudanile.com
7	land, education, guarded, thank, schools	2	sudanile.com
8	nations, united, looting, doubled, continues	6	sudanile.com
9	ethiopia, searching, evacuation, forest, olala	2	sudanile.com
10	age, raped, women, testimonies, describes	2	sudanile.com
11	address, fighting, algeria, secretary, reception	3	sudanile.com
12	army, aviation, calm, continuous, kordofan	4	sudanile.com
15	worsens, head, unhcr, europe, commissioner	2	sudanile.com
16	organize, preventing, countries, taking, measures	1	sudanile.com
17	diaspora, learn, generosity, let, ethnic	4	sudanile.com
18	democratic, civilian, stranded, regions, taqaddam	1	sudanile.com
20	allows, enter, violates, 700, stresses	3	sudanile.com
21	registered, nationality, incitement, highest, campaigns	4	sudanile.com
23	migration, internal, organization, conflict, fled	5	sudanile.com
25	age, children, organization, unicef, child	1	sudanile.com
28	marginalization, muhammad, mahmoud, written, issues	9	sudanile.com
29	worsen, levels, reaches, season, threatens	1	sudanile.com
30	statistics, quarter, population, regarding, world	2	sudanile.com
31	passports, administration, general, territory, nationality	2	sudanile.com
34	organization, mission, tens, head, migration	2	sudanile.com
35	accident, traffic, claims, kufra, libya	1	sudanile.com
37	decline, despite, country, expatriates, bank	1	sudanile.com
40	uganda, reality, miserable, integration, difficulties	2	sudanile.com
42	atbara, al, visits, harsh, face	1	sudanile.com
44	confronting, painful, tragedy, issues, human	2	sudanile.com
