topic_id	family_id	family_label
0	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
1	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
2	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
3	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
4	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
5	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
6	3	Egyptian · Deports · Public · Deport · Registered · Draft · Egyptian · Nationality
7	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
8	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
9	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
10	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
11	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
12	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
13	3	Egyptian · Deports · Public · Deport · Registered · Draft · Egyptian · Nationality
14	3	Egyptian · Deports · Public · Deport · Registered · Draft · Egyptian · Nationality
15	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
16	5	Expatriates · Kuwait · Violators · Hajj · Passports · Administration · General · Immigration
17	6	Diaspora · Freedom · Revolution · Arabs · Marginalization · Muhammad · Mahmoud · Issues
18	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
19	6	Diaspora · Freedom · Revolution · Arabs · Marginalization · Muhammad · Mahmoud · Issues
20	3	Egyptian · Deports · Public · Deport · Registered · Draft · Egyptian · Nationality
21	3	Egyptian · Deports · Public · Deport · Registered · Draft · Egyptian · Nationality
22	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
23	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
24	7	Watch · Video · Photo · Girl · Watch · Video · Famous · Dance
25	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
26	5	Expatriates · Kuwait · Violators · Hajj · Passports · Administration · General · Immigration
27	7	Watch · Video · Photo · Girl · Watch · Video · Famous · Dance
28	6	Diaspora · Freedom · Revolution · Arabs · Marginalization · Muhammad · Mahmoud · Issues
29	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
30	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
31	5	Expatriates · Kuwait · Violators · Hajj · Passports · Administration · General · Immigration
32	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
33	8	Immigrants · Biden · Immigration · Threatens · Immigration · Illegal · Economy · Immigrants
34	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
35	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
36	3	Egyptian · Deports · Public · Deport · Registered · Draft · Egyptian · Nationality
37	5	Expatriates · Kuwait · Violators · Hajj · Passports · Administration · General · Immigration
38	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
39	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
40	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
41	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
42	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
43	8	Immigrants · Biden · Immigration · Threatens · Immigration · Illegal · Economy · Immigrants
44	9	Painful · Confronting · Tragedy · Issues · Migration · Carrying · African · Season
45	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
46	9	Painful · Confronting · Tragedy · Issues · Migration · Carrying · African · Season
47	2	Locality · El · Marra · Jebel · Alburhan · Siege · Reception · Protest
48	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
49	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
50	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
51	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
52	4	Army · Clashes · Kordofan · Battles · Governor · Urgent · Visit · Need
53	1	Chad · Libya · Tragic · Kufra · Internally · Statistics · Quarter · Record
