topic_id	family_id	family_label
1	69	Al · Rapid · Fasher · El · Army
12	69	Al · Rapid · Fasher · El · Army
47	69	Al · Rapid · Fasher · El · Army
51	69	Al · Rapid · Fasher · El · Army
0	95	Chad · Al · Health · Darfur · Humanitarian
2	95	Chad · Al · Health · Darfur · Humanitarian
5	95	Chad · Al · Health · Darfur · Humanitarian
11	95	Chad · Al · Health · Darfur · Humanitarian
18	95	Chad · Al · Health · Darfur · Humanitarian
29	95	Chad · Al · Health · Darfur · Humanitarian
38	95	Chad · Al · Health · Darfur · Humanitarian
42	95	Chad · Al · Health · Darfur · Humanitarian
49	95	Chad · Al · Health · Darfur · Humanitarian
50	95	Chad · Al · Health · Darfur · Humanitarian
3	94	Gaza · Women · Uganda · Al · Syrian
10	94	Gaza · Women · Uganda · Al · Syrian
35	94	Gaza · Women · Uganda · Al · Syrian
37	94	Gaza · Women · Uganda · Al · Syrian
39	94	Gaza · Women · Uganda · Al · Syrian
40	94	Gaza · Women · Uganda · Al · Syrian
45	94	Gaza · Women · Uganda · Al · Syrian
48	94	Gaza · Women · Uganda · Al · Syrian
17	93	Diaspora · Marginalization · Al · Muhammad · Mahmoud
28	93	Diaspora · Marginalization · Al · Muhammad · Mahmoud
32	93	Diaspora · Marginalization · Al · Muhammad · Mahmoud
44	93	Diaspora · Marginalization · Al · Muhammad · Mahmoud
4	85	Schools · Students · Khartoum · Nile · Education
7	85	Schools · Students · Khartoum · Nile · Education
19	85	Schools · Students · Khartoum · Nile · Education
53	85	Schools · Students · Khartoum · Nile · Education
8	99	Ethiopia · Nations · United · Ethiopian · Unhcr
9	99	Ethiopia · Nations · United · Ethiopian · Unhcr
15	99	Ethiopia · Nations · United · Ethiopian · Unhcr
22	99	Ethiopia · Nations · United · Ethiopian · Unhcr
25	99	Ethiopia · Nations · United · Ethiopian · Unhcr
30	99	Ethiopia · Nations · United · Ethiopian · Unhcr
41	99	Ethiopia · Nations · United · Ethiopian · Unhcr
23	72	Migration · Organization · 10 · Population · Carrying
34	72	Migration · Organization · 10 · Population · Carrying
46	72	Migration · Organization · 10 · Population · Carrying
6	77	Boat · Migrants · Immigration · Coast · Tunisia
14	77	Boat · Migrants · Immigration · Coast · Tunisia
33	77	Boat · Migrants · Immigration · Coast · Tunisia
43	77	Boat · Migrants · Immigration · Coast · Tunisia
13	101	Al · Trafficking · Human · Watch · Video
16	101	Al · Trafficking · Human · Watch · Video
20	101	Al · Trafficking · Human · Watch · Video
21	101	Al · Trafficking · Human · Watch · Video
24	101	Al · Trafficking · Human · Watch · Video
26	101	Al · Trafficking · Human · Watch · Video
27	101	Al · Trafficking · Human · Watch · Video
31	101	Al · Trafficking · Human · Watch · Video
36	101	Al · Trafficking · Human · Watch · Video
52	101	Al · Trafficking · Human · Watch · Video
