topic_id	broad_id	broad_label	subfamily_id	subfamily_label
0	conflict	Conflict, security and foreign relations	552	El Fasher, RSF and conflict
1	governance	Government, public services, economy and education	551	Government, education and public administration
2	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
3	governance	Government, public services, economy and education	551	Government, education and public administration
4	conflict	Conflict, security and foreign relations	549	Foreign relations, Israel, UAE and Burhan
5	governance	Government, public services, economy and education	551	Government, education and public administration
6	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
7	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
8	conflict	Conflict, security and foreign relations	549	Foreign relations, Israel, UAE and Burhan
9	conflict	Conflict, security and foreign relations	552	El Fasher, RSF and conflict
10	conflict	Conflict, security and foreign relations	552	El Fasher, RSF and conflict
11	governance	Government, public services, economy and education	543	Economy, currency and prices
12	conflict	Conflict, security and foreign relations	552	El Fasher, RSF and conflict
13	conversation	News, media and community conversation	501	Religious prayers and blessings
14	governance	Government, public services, economy and education	551	Government, education and public administration
15	governance	Government, public services, economy and education	569	Jobs, training and recruitment
16	governance	Government, public services, economy and education	558	Courts, politics and revolution
17	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
18	conflict	Conflict, security and foreign relations	552	El Fasher, RSF and conflict
19	conflict	Conflict, security and foreign relations	549	Foreign relations, Israel, UAE and Burhan
20	governance	Government, public services, economy and education	551	Government, education and public administration
21	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
22	conflict	Conflict, security and foreign relations	541	Armed forces and military leadership
23	governance	Government, public services, economy and education	558	Courts, politics and revolution
24	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
25	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
26	governance	Government, public services, economy and education	551	Government, education and public administration
27	conflict	Conflict, security and foreign relations	552	El Fasher, RSF and conflict
28	humanitarian	Humanitarian conditions, refugees and migration	560	Refugees, humanitarian aid and Ethiopia
29	conflict	Conflict, security and foreign relations	547	Security, policing and trafficking
