topic_id	mobility_theme
6	immigration_documents
9	refugees_displacement
12	refugees_displacement
24	refugees_displacement
25	refugees_displacement
28	refugees_displacement
32	immigration_documents
39	returns_deportations
46	trafficking_smuggling
52	refugees_displacement
70	immigration_documents
81	immigration_documents
103	diaspora
109	refugees_displacement
109	returns_deportations
112	immigration_documents
114	migrant_journeys
147	returns_deportations
152	migrant_journeys
189	refugees_displacement
228	refugees_displacement
240	refugees_displacement
242	immigration_documents
251	refugees_displacement
265	diaspora
271	immigration_documents
