Topic	Count	Name	Representation	Representative_Docs
-1	42295	-1_forces_militia_sudan_sudanese	['forces', 'militia', 'sudan', 'sudanese', 'khartoum', 'war', 'armed', 'council', 'displaced', 'governor', 'government', 'rapid']	
0	2403	0_rapid_fasher_el_army	['rapid', 'fasher', 'el', 'army', 'artillery', 'forces', 'city', 'tribune', 'camp', 'killed', 'darfur', 'north']	
1	2323	1_students_education_exams_school	['students', 'education', 'exams', 'school', 'certificate', 'schools', 'university', 'teachers', 'secondary', 'educational', 'student', 'universities']	
2	1227	2_humanitarian_aid_food_famine	['humanitarian', 'aid', 'food', 'famine', 'million', 'nations', 'united', 'hunger', 'children', 'malnutrition', 'relief', 'unicef']	
3	931	3_almerreikh_alhilal_sports_stadium	['almerreikh', 'alhilal', 'sports', 'stadium', 'league', 'hilal', 'cup', 'football', 'team', 'match', 'defeats', 'mars']	
4	705	4_iran_saudi_qatari_arabia	['iran', 'saudi', 'qatari', 'arabia', 'qatar', 'iranian', 'yemen', 'syria', 'bin', 'yemeni', 'highness', 'prince']	
5	605	5_newspaper_headlines_newspapers_alintibaha	['newspaper', 'headlines', 'newspapers', 'alintibaha', 'political', 'alsudani', 'akhbar', 'alwatan', 'alsayha', 'alyoum', 'prominent', 'ad']	
6	604	6_ethiopian_ethiopia_border_tigray	['ethiopian', 'ethiopia', 'border', 'tigray', 'addis', 'ababa', 'eritrea', 'eritrean', 'alqalabat', 'abiy', 'crossing', 'region']	
7	573	7_cholera_cases_fever_dengue	['cholera', 'cases', 'fever', 'dengue', 'epidemic', 'deaths', 'recorded', 'disease', 'health', 'malaria', 'measles', 'spread']	
8	542	8_israel_israeli_palestinian_gaza	['israel', 'israeli', 'palestinian', 'gaza', 'normalization', 'palestine', 'jews', 'strip', 'trump', 'arab', 'entity', 'lebanon']	
9	524	9_village_villages_militia_aljazeera	['village', 'villages', 'militia', 'aljazeera', 'rapid', 'citizens', 'killed', 'abu', 'fasher', 'displacement', 'camp', 'civilians']	
10	496	10_women_sexual_violence_rape	['women', 'sexual', 'violence', 'rape', 'girls', 'womens', 'cases', 'documented', 'raped', 'tribune', 'gender', 'exploitation']	
11	495	11_agricultural_pounds_farmers_season	['agricultural', 'pounds', 'farmers', 'season', 'agriculture', 'wheat', 'livestock', 'production', 'acres', 'bag', 'seeds', 'harvest']	
12	491	12_civilians_homes_displacement_looting	['civilians', 'homes', 'displacement', 'looting', 'women', 'property', 'neighborhoods', 'killing', 'led', 'villages', 'addition', 'bombing']	
13	483	13_god_oh_lord_ask	['god', 'oh', 'lord', 'ask', 'willing', 'mercy', 'gods', 'blessings', 'good', 'reward', 'praise', 'bless']	
14	472	14_corona_coronavirus_virus_cases	['corona', 'coronavirus', 'virus', 'cases', 'pandemic', 'suspected', 'health', 'infected', 'infection', 'infections', 'confront', 'deaths']	
15	465	15_required_degree_officer_vacant	['required', 'degree', 'officer', 'vacant', 'assistant', 'related', 'port', 'monthly', 'management', 'field', 'vacancies', 'salary']	
16	451	16_legislative_constitutional_elections_ministers	['legislative', 'constitutional', 'elections', 'ministers', 'freedom', 'party', 'political', 'change', 'democracy', 'transitional', 'government', 'congress']	
17	434	17_baskets_food_charity_crescent	['baskets', 'food', 'charity', 'crescent', 'families', 'displaced', 'meals', 'red', 'distributes', 'initiative', 'qatar', 'charitable']	
18	411	18_crimes_genocide_law_international	['crimes', 'genocide', 'law', 'international', 'civilians', 'humanitarian', 'conventions', 'ethnic', 'violation', 'violations', 'committed', 'humanity']	
19	407	19_foreign_ambassador_affairs_relations	['foreign', 'ambassador', 'affairs', 'relations', 'egyptian', 'countries', 'minister', 'president', 'egypt', 'bilateral', 'visit', 'brotherly']	
20	404	20_meets_governor_minister_confirms	['meets', 'governor', 'minister', 'confirms', 'health', 'reviews', 'suna', 'receives', 'nile', 'agency', 'council', 'delegation']	
21	384	21_doctors_medical_health_borders	['doctors', 'medical', 'health', 'borders', 'room', 'patients', 'emergency', 'medicines', 'humanitarian', 'hospitals', 'malnutrition', 'hospital']	
22	380	22_struggle_victory_battle_army	['struggle', 'victory', 'battle', 'army', 'armed', 'forces', 'popular', 'battleofdemocracy', 'liberation', 'martyrs', 'selfdefense', 'guardians']	
23	375	23_hamdok_party_communist_hamdoks	['hamdok', 'party', 'communist', 'hamdoks', 'freedom', 'political', 'leader', 'prime', 'change', 'government', 'congress', 'revolutionary']	
24	352	24_village_displaced_families_fasher	['village', 'displaced', 'families', 'fasher', 'tawila', 'camp', 'el', 'camps', 'residents', 'city', 'villages', 'food']	
25	347	25_refugees_chad_commissioner_high	['refugees', 'chad', 'commissioner', 'high', 'unhcr', 'nations', 'south', 'refugee', 'chadian', 'united', 'camps', 'million']	
