Topic	Words	Frequency	Class
-1	al, militia, citizens, god, forces	2505	https://t.me/azwyokgsbzzz
0	al, militia, rapid, air, fasher	94	https://t.me/azwyokgsbzzz
1	students, education, school, exams, certificate	106	https://t.me/azwyokgsbzzz
2	aid, humanitarian, food, unicef, relief	47	https://t.me/azwyokgsbzzz
3	sports, football, youth, federation, association	21	https://t.me/azwyokgsbzzz
4	iran, trump, yemen, iraq, rashid	25	https://t.me/azwyokgsbzzz
6	eritrean, ethiopian, secretary, ethiopia, relations	15	https://t.me/azwyokgsbzzz
7	cholera, cases, epidemics, malaria, health	14	https://t.me/azwyokgsbzzz
8	israel, gaza, palestinian, israeli, entity	61	https://t.me/azwyokgsbzzz
9	village, al, villages, militia, abu	55	https://t.me/azwyokgsbzzz
10	sexual, women, violence, rape, girls	18	https://t.me/azwyokgsbzzz
11	farmers, productivity, agriculture, agricultural, crop	20	https://t.me/azwyokgsbzzz
12	neighborhoods, dozens, horrific, wounded, villages	33	https://t.me/azwyokgsbzzz
13	god, oh, lord, blessings, mercy	53	https://t.me/azwyokgsbzzz
16	elections, rule, absence, legislative, concrete	11	https://t.me/azwyokgsbzzz
17	baskets, food, charity, initiative, displaced	38	https://t.me/azwyokgsbzzz
18	genocide, crimes, systematic, international, law	29	https://t.me/azwyokgsbzzz
19	affairs, foreign, ambassador, egyptian, badr	18	https://t.me/azwyokgsbzzz
20	jaber, refinery, burning, jiyad, jelly	1	https://t.me/azwyokgsbzzz
21	doctors, medical, patients, health, dinder	12	https://t.me/azwyokgsbzzz
22	struggle, liberation, battle, victory, army	42	https://t.me/azwyokgsbzzz
23	enjoys, relationships, qualifications, analysts, farid	4	https://t.me/azwyokgsbzzz
24	displaced, al, inspection, residents, village	28	https://t.me/azwyokgsbzzz
25	refugees, adre, commissioner, refugee, horn	9	https://t.me/azwyokgsbzzz
26	blue, nile, governor, launches, budget	10	https://t.me/azwyokgsbzzz
27	al, qatina, city, axis, area	31	https://t.me/azwyokgsbzzz
28	refugees, ethiopian, forests, ethiopia, ethiopians	17	https://t.me/azwyokgsbzzz
29	security, police, khartoum, crime, cell	31	https://t.me/azwyokgsbzzz
30	bank, trading, banking, accounts, export	3	https://t.me/azwyokgsbzzz
31	airlines, airport, flights, flight, aviation	12	https://t.me/azwyokgsbzzz
32	passports, passport, foreigners, immigration, administration	19	https://t.me/azwyokgsbzzz
33	security, crime, police, intelligence, rates	16	https://t.me/azwyokgsbzzz
34	floods, rains, caused, flood, road	14	https://t.me/azwyokgsbzzz
35	truce, unless, stop, excuse, ceasefire	14	https://t.me/azwyokgsbzzz
36	abandon, 56, morale, revolution, marginalization	9	https://t.me/azwyokgsbzzz
37	al, withdrawal, jazeera, rebel, prophet	19	https://t.me/azwyokgsbzzz
38	case, court, prosecution, request, fairly	8	https://t.me/azwyokgsbzzz
39	violators, oman, sultanate, voluntary, egypt	7	https://t.me/azwyokgsbzzz
40	gold, mineral, mining, company, resources	11	https://t.me/azwyokgsbzzz
42	kampala, rights, human, center, democracy	11	https://t.me/azwyokgsbzzz
43	determining, atms, harmed, chapter, conspiracies	2	https://t.me/azwyokgsbzzz
44	spokesperson, slogan, success, implement, platform	1	https://t.me/azwyokgsbzzz
45	drug, drugs, anti, quantities, substances	5	https://t.me/azwyokgsbzzz
46	trafficking, human, smuggling, gang, victims	7	https://t.me/azwyokgsbzzz
47	starts, exactly, grow, check, sense	14	https://t.me/azwyokgsbzzz
48	african, union, membership, representative, founder	8	https://t.me/azwyokgsbzzz
49	god, allah, almighty, bless, grant	22	https://t.me/azwyokgsbzzz
50	rahman, omar, channel, follow, abdul	2	https://t.me/azwyokgsbzzz
51	electricity, problem, bills, saves, electrical	5	https://t.me/azwyokgsbzzz
52	families, foot, displaced, giving, provide	9	https://t.me/azwyokgsbzzz
53	oil, refinery, energy, chinese, gas	5	https://t.me/azwyokgsbzzz
54	coincided, unesco, warehouses, collecting, mothers	1	https://t.me/azwyokgsbzzz
55	hassan, farouk, khalil, hamid, al	17	https://t.me/azwyokgsbzzz
56	networks, communication, topic, starlink, devices	14	https://t.me/azwyokgsbzzz
57	ad, 2025, terrified, 2024, wednesday	15	https://t.me/azwyokgsbzzz
58	ministries, appointment, controversy, tijani, environment	11	https://t.me/azwyokgsbzzz
59	customs, luggage, exemptions, fees, personal	9	https://t.me/azwyokgsbzzz
60	print, pennies, inform, quantity, finance	2	https://t.me/azwyokgsbzzz
62	verify, validity, allegations, unable, independent	1	https://t.me/azwyokgsbzzz
63	god, protect, glory, reward, martyrs	11	https://t.me/azwyokgsbzzz
64	battle, love, truth, history, end	12	https://t.me/azwyokgsbzzz
65	surgery, center, heart, rabak, running	3	https://t.me/azwyokgsbzzz
66	council, representative, permanent, security, sanctions	10	https://t.me/azwyokgsbzzz
67	weather, meteorology, facebook, temperatures, moderate	11	https://t.me/azwyokgsbzzz
68	hatred, history, principles, unified, independent	6	https://t.me/azwyokgsbzzz
70	passports, immigration, administration, passport, general	10	https://t.me/azwyokgsbzzz
71	media, journalists, waging, press, cohesion	5	https://t.me/azwyokgsbzzz
72	court, prosecutor, criminal, complaint, request	7	https://t.me/azwyokgsbzzz
73	russia, russian, burhan, stipulates, nominate	2	https://t.me/azwyokgsbzzz
74	courtesy, say, hello, bitterness, love	8	https://t.me/azwyokgsbzzz
75	speedy, martyrs, recovery, mercy, wounded	17	https://t.me/azwyokgsbzzz
76	vehicles, equipment, losses, armored, heavy	16	https://t.me/azwyokgsbzzz
77	artist, art, artistic, artists, band	7	https://t.me/azwyokgsbzzz
78	terrorist, terrorism, unarmed, militia, atrocities	15	https://t.me/azwyokgsbzzz
79	installation, tank, cleaning, water, quality	2	https://t.me/azwyokgsbzzz
80	god, battle, victory, islamists, know	16	https://t.me/azwyokgsbzzz
81	deporting, foreigners, deport, immigrant, decided	9	https://t.me/azwyokgsbzzz
82	shambat, umbada, cleanliness, street, rents	8	https://t.me/azwyokgsbzzz
83	health, saudi, contributed, sector, medical	6	https://t.me/azwyokgsbzzz
84	confusion, pain, records, denied, location	3	https://t.me/azwyokgsbzzz
86	mosque, preachers, mosques, solidarity, religious	9	https://t.me/azwyokgsbzzz
88	looking, accounts, spring, currency, shall	1	https://t.me/azwyokgsbzzz
89	american, unlimited, dimensions, uniform, took	4	https://t.me/azwyokgsbzzz
90	throw, balance, careful, allegations, army	8	https://t.me/azwyokgsbzzz
91	solutions, member, file, segments, politicians	1	https://t.me/azwyokgsbzzz
92	invaders, confronted, remnants, recovering, mercenaries	18	https://t.me/azwyokgsbzzz
93	pharmaceutical, pharmacists, medications, concentrations, mixed	3	https://t.me/azwyokgsbzzz
94	gum, realized, producing, supposed, petroleum	2	https://t.me/azwyokgsbzzz
95	abyei, supreme, coordination, delegation, meets	1	https://t.me/azwyokgsbzzz
96	navy, rank, lt, stars, excellence	6	https://t.me/azwyokgsbzzz
97	media, workshop, journalist, journalism, publications	8	https://t.me/azwyokgsbzzz
98	eritrea, monitoring, original, times, documentation	2	https://t.me/azwyokgsbzzz
100	programmes, battalions, soldier, commanders, rank	5	https://t.me/azwyokgsbzzz
102	trump, amendment, congress, introduced, record	13	https://t.me/azwyokgsbzzz
103	diaspora, al, write, rizeigat, born	11	https://t.me/azwyokgsbzzz
104	victory, speedy, god, resolve, dear	14	https://t.me/azwyokgsbzzz
105	grievances, precedent, characterized, neglect, product	2	https://t.me/azwyokgsbzzz
106	mosques, education, umrah, religious, arrangements	7	https://t.me/azwyokgsbzzz
107	sovereignty, overall, council, chief, oath	12	https://t.me/azwyokgsbzzz
108	agencies, humanitarian, emergencies, relief, entity	9	https://t.me/azwyokgsbzzz
109	refugee, deport, refugees, foreigners, registered	10	https://t.me/azwyokgsbzzz
110	drones, missiles, km, missile, combat	10	https://t.me/azwyokgsbzzz
111	dialysis, jazira, 900, conducting, achievement	4	https://t.me/azwyokgsbzzz
112	libya, kufra, imad, tripoli, net	2	https://t.me/azwyokgsbzzz
114	migration, 154, deports, net, organization	3	https://t.me/azwyokgsbzzz
115	allocating, stable, sustainable, aims, enhance	1	https://t.me/azwyokgsbzzz
116	haftar, libyan, libya, khalifa, borders	6	https://t.me/azwyokgsbzzz
117	apartment, estate, license, rent, housing	9	https://t.me/azwyokgsbzzz
118	family, missing, sells, love, stronghold	8	https://t.me/azwyokgsbzzz
120	writers, artists, federation, burhan, mobility	3	https://t.me/azwyokgsbzzz
121	slight, temperatures, meteorology, small, decrease	8	https://t.me/azwyokgsbzzz
122	patients, clinics, association, msf, medical	7	https://t.me/azwyokgsbzzz
124	chadian, chad, informed, adri, uae	9	https://t.me/azwyokgsbzzz
126	hajj, umrah, pilgrims, endowments, ah	5	https://t.me/azwyokgsbzzz
127	terrorist, artillery, militia, gangs, targeted	10	https://t.me/azwyokgsbzzz
129	war, citizen, supporters, ones, definitely	8	https://t.me/azwyokgsbzzz
132	nyala, cooperating, darfur, town, charges	2	https://t.me/azwyokgsbzzz
135	climate, change, message249, jobs, resolutions	7	https://t.me/azwyokgsbzzz
136	win, strength, god, prevail, victory	18	https://t.me/azwyokgsbzzz
137	weather, slight, hot, temperatures, rise	6	https://t.me/azwyokgsbzzz
139	insurance, financing, health, ceiling, allocating	4	https://t.me/azwyokgsbzzz
140	steal, burned, feature, looted, harassment	5	https://t.me/azwyokgsbzzz
141	jazira, mobilization, held, supreme, supporting	1	https://t.me/azwyokgsbzzz
142	watan, reliable, reports, news, 2025	2	https://t.me/azwyokgsbzzz
144	tragedies, film, reality, wearing, series	6	https://t.me/azwyokgsbzzz
145	instability, terrorism, transgressions, extremism, guise	3	https://t.me/azwyokgsbzzz
147	voluntary, deported, deposited, decline, 450	6	https://t.me/azwyokgsbzzz
149	cows, sheep, camels, voices, die	7	https://t.me/azwyokgsbzzz
150	wheel, mark, terrified, employers, proposes	2	https://t.me/azwyokgsbzzz
151	industries, manufacturing, modern, vegetables, pounds	3	https://t.me/azwyokgsbzzz
152	tunisian, migrants, coast, drowned, underway	1	https://t.me/azwyokgsbzzz
153	transportation, tariffs, proposal, buses, lines	5	https://t.me/azwyokgsbzzz
155	roads, road, maintenance, bridges, rehabilitation	9	https://t.me/azwyokgsbzzz
156	watan, nasr, 2025, ad, near	20	https://t.me/azwyokgsbzzz
157	achieved, sennar, militia, sinja, battle	8	https://t.me/azwyokgsbzzz
158	sheltering, reassured, stressing, welfare, services	4	https://t.me/azwyokgsbzzz
159	resolution, prohibits, warring, condemned, sale	2	https://t.me/azwyokgsbzzz
160	root, convinced, causes, consider, steps	3	https://t.me/azwyokgsbzzz
161	ethical, vote, contained, competencies, phenomena	3	https://t.me/azwyokgsbzzz
162	calm, umm, al, witnessed, normal	7	https://t.me/azwyokgsbzzz
167	competence, haitham, surprised, exploited, health	4	https://t.me/azwyokgsbzzz
169	dictates, americans, consolidating, conversation, circles	5	https://t.me/azwyokgsbzzz
170	god, victory, willing, conquest, heroes	12	https://t.me/azwyokgsbzzz
