topic_id	family_id	family_label
0	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
1	3	Jobs · Scholarship · Opportunity · Professors · English · Language · Courses · Interested
2	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
3	8	Summary · Best · News · Start · Headlines · 2020 · Todays · Political
4	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
5	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
6	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
7	6	Health · Hospital · Medical · Center · Health · Haitham · Dr · Competence
8	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
9	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
10	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
11	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
12	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
13	11	Win · Strength · God · Prevail · Religious prayers and blessings
14	6	Health · Hospital · Medical · Center · Health · Haitham · Dr · Competence
15	3	Jobs · Scholarship · Opportunity · Professors · English · Language · Courses · Interested
16	8	Summary · Best · News · Start · Headlines · 2020 · Todays · Political
17	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
18	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
19	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
20	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
21	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
22	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
23	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
24	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
25	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
26	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
27	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
28	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
29	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
30	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
31	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
32	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
33	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
34	9	Displacement shelters and living conditions · Homeless · Services · Social · Welfare
35	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
36	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
37	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
38	10	Empowerment · Committee · Professionals · Removal · Service · Civil · Commission · Selection
39	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
40	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
41	13	Whatsapp · Facebook · Httpswwwfacebookcomprofilephpid61556457563338 · Httpstmealrisala249 · Httpstmesaqwl · Spokesperson · Office · Watch
42	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
43	12	Budget, taxation and public finance · Investment · Economy · Companies · Economic
44	6	Health · Hospital · Medical · Center · Health · Haitham · Dr · Competence
45	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
46	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
47	14	Dont · Come · Didnt · Personally · Waiting · Answer · Zero · Think
48	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
49	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
50	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
51	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
52	9	Displacement shelters and living conditions · Homeless · Services · Social · Welfare
53	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
54	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
55	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
56	10	Empowerment · Committee · Professionals · Removal · Service · Civil · Commission · Selection
57	8	Summary · Best · News · Start · Headlines · 2020 · Todays · Political
58	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
59	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
60	12	Budget, taxation and public finance · Investment · Economy · Companies · Economic
61	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
62	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
63	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
64	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
65	6	Health · Hospital · Medical · Center · Health · Haitham · Dr · Competence
66	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
67	15	Temperatures · Meteorology · Slight · Maximum · Weather · Hot · Temperatures · Todays
68	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
69	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
70	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
71	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
72	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
73	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
74	14	Dont · Come · Didnt · Personally · Waiting · Answer · Zero · Think
75	11	Win · Strength · God · Prevail · Religious prayers and blessings
76	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
77	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
78	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
79	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
80	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
81	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
82	9	Displacement shelters and living conditions · Homeless · Services · Social · Welfare
83	6	Health · Hospital · Medical · Center · Health · Haitham · Dr · Competence
84	4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling
85	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
86	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
87	12	Budget, taxation and public finance · Investment · Economy · Companies · Economic
88	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
89	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
90	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
91	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
92	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
93	6	Health · Hospital · Medical · Center · Health · Haitham · Dr · Competence
94	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
95	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
96	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
97	10	Empowerment · Committee · Professionals · Removal · Service · Civil · Commission · Selection
98	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
99	13	Whatsapp · Facebook · Httpswwwfacebookcomprofilephpid61556457563338 · Httpstmealrisala249 · Httpstmesaqwl · Spokesperson · Office · Watch
100	5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces
101	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
102	2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity
103	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
104	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
105	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
106	7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques
107	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
108	9	Displacement shelters and living conditions · Homeless · Services · Social · Welfare
109	1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi
