family_id	family_label	representative_topics	topic_count	assignment_volume
1	Albashir · Meets · Unamid · Minister · Darfur · Arko · Minni · Minawi	Albashir · Meets · Unamid · Minister | Darfur · Arko · Minni · Minawi	107	19766
2	Milk · Sudannewsnetwork · 2017 · Kilograms · Albashir · Bank · Gold · Liquidity	Milk · Sudannewsnetwork · 2017 · Kilograms | Albashir · Bank · Gold · Liquidity	30	3611
3	Jobs · Scholarship · Opportunity · Professors · English · Language · Courses · Interested	Jobs · Scholarship · Opportunity · Professors | English · Language · Courses · Interested	11	3270
4	Illegal · Immigration · Combat · Immigrants · Human trafficking and migrant smuggling	Illegal · Immigration · Combat · Immigrants | Human trafficking and migrant smuggling	25	3124
5	Pardon · Reporting · Armed · Renew · Vehicles · Enemy · Destroyed · Forces	Pardon · Reporting · Armed · Renew | Vehicles · Enemy · Destroyed · Forces	25	2717
6	Health · Hospital · Medical · Center · Health · Haitham · Dr · Competence	Health · Hospital · Medical · Center | Health · Haitham · Dr · Competence	12	2157
7	Islamic · Movement · Almahdi · Religious · Religious · Church · Mosque · Mosques	Islamic · Movement · Almahdi · Religious | Religious · Church · Mosque · Mosques	17	1955
8	Summary · Best · News · Start · Headlines · 2020 · Todays · Political	Summary · Best · News · Start | Headlines · 2020 · Todays · Political	9	1953
9	Displacement shelters and living conditions · Homeless · Services · Social · Welfare	Displacement shelters and living conditions | Homeless · Services · Social · Welfare	12	1285
10	Empowerment · Committee · Professionals · Removal · Service · Civil · Commission · Selection	Empowerment · Committee · Professionals · Removal | Service · Civil · Commission · Selection	8	873
11	Win · Strength · God · Prevail · Religious prayers and blessings	Win · Strength · God · Prevail | Religious prayers and blessings	4	805
12	Budget, taxation and public finance · Investment · Economy · Companies · Economic	Budget, taxation and public finance | Investment · Economy · Companies · Economic	6	756
13	Whatsapp · Facebook · Httpswwwfacebookcomprofilephpid61556457563338 · Httpstmealrisala249 · Httpstmesaqwl · Spokesperson · Office · Watch	Whatsapp · Facebook · Httpswwwfacebookcomprofilephpid61556457563338 · Httpstmealrisala249 | Httpstmesaqwl · Spokesperson · Office · Watch	9	753
14	Dont · Come · Didnt · Personally · Waiting · Answer · Zero · Think	Dont · Come · Didnt · Personally | Waiting · Answer · Zero · Think	4	515
15	Temperatures · Meteorology · Slight · Maximum · Weather · Hot · Temperatures · Todays	Temperatures · Meteorology · Slight · Maximum | Weather · Hot · Temperatures · Todays	4	411
16	Forest · Forests · Forestry · Trees · Honey · Strains · Wild · Best	Forest · Forests · Forestry · Trees | Honey · Strains · Wild · Best	3	228
17	Inquiries · 249918984706 · Orders · Delivery · Testing · Careful · Bet · Quality	Inquiries · 249918984706 · Orders · Delivery | Testing · Careful · Bet · Quality	2	170
