message_key	topic_id	chunk_id	start_char	end_char	source_start_char	source_end_char
1104571454:10056	33	1	495	605	494	604
1104571454:10100	11	1	1167	1565	1166	1564
1104571454:1011	1	13	2854	2901	2841	2888
1104571454:1011	30	7	1695	1996	1688	1989
1104571454:1011	40	11	2553	2787	2542	2776
1104571454:1011	43	9	2224	2303	2215	2294
1104571454:1011	43	16	3874	4057	3858	4041
1104571454:1011	43	18	4120	4189	4102	4171
1104571454:1011	93	6	1442	1693	1436	1687
1104571454:1011	179	1	102	177	101	176
1104571454:1011	201	10	2305	2551	2295	2541
1104571454:1011	255	8	1998	2222	1990	2214
1104571454:1011	271	15	3727	3872	3712	3857
1104571454:10125	160	1	268	1153	267	1151
1104571454:10140	153	0	0	123	0	123
1104571454:10168	8	9	3145	3332	3136	3323
1104571454:10168	89	1	324	551	323	550
1104571454:10168	91	3	808	1194	805	1191
1104571454:10168	138	8	2263	3143	2255	3135
1104571454:10168	169	5	1414	1744	1409	1739
1104571454:10176	8	9	3145	3332	3136	3323
1104571454:10176	89	1	324	551	323	550
1104571454:10176	91	3	808	1194	805	1191
1104571454:10176	138	8	2263	3143	2255	3135
1104571454:10176	169	5	1414	1744	1409	1739
1104571454:10180	16	18	3759	3798	3741	3780
1104571454:10180	49	12	2872	2919	2860	2907
1104571454:10180	74	3	781	811	778	808
1104571454:10180	166	15	3191	3561	3176	3546
1104571454:10180	172	2	343	779	341	777
1104571454:10180	172	9	1846	2253	1837	2244
1104571454:10180	177	5	1231	1369	1226	1364
1104571454:10180	254	13	2921	3074	2908	3061
1104571454:10195	34	8	2131	2283	2155	2307
1104571454:10195	62	4	744	779	772	807
1104571454:10195	73	3	337	742	367	772
1104571454:10195	101	10	2836	3570	2858	3592
1104571454:10218	16	12	3964	4111	3964	4111
1104571454:10218	16	13	4113	4174	4112	4173
1104571454:10218	23	11	3752	3962	3753	3963
1104571454:10218	91	0	0	481	0	481
1104571454:10218	91	5	1279	1630	1286	1637
1104571454:10218	91	6	1632	1865	1638	1871
1104571454:10226	13	11	2232	2320	2221	2309
1104571454:10226	36	12	2322	2634	2310	2622
1104571454:10226	37	2	323	627	321	625
1104571454:10226	74	5	1463	1491	1458	1486
1104571454:10226	74	9	1945	1992	1936	1983
1104571454:10226	160	10	1994	2230	1984	2220
1104571454:10226	166	7	1532	1892	1525	1885
1104571454:10226	191	6	1493	1530	1487	1524
1104571454:10226	215	8	1894	1943	1886	1935
1104571454:10250	60	1	722	844	721	843
1104571454:10250	218	3	989	1136	986	1133
1104571454:10296	13	1	709	772	708	771
1104571454:10296	37	0	0	707	0	707
