topic_id	x	y	z
0	5.6595626	0.7978867	-11.313576
1	6.0339665	2.76352	-8.112362
2	4.442739	0.3075926	-8.7398205
3	6.8907466	1.3498458	-10.039932
4	7.0273137	0.24083254	-10.968416
5	7.3929634	1.9407331	-10.085861
6	6.8931746	1.0799	-10.699896
7	3.6657112	0.80802894	-8.399996
8	6.9204545	0.28928882	-11.108003
9	5.157225	0.73775715	-11.030151
10	5.7213798	0.430039	-10.979309
11	7.150581	0.5495902	-8.339311
12	5.1847453	0.42604607	-10.62133
13	4.4091353	1.9849343	-11.028508
14	3.686729	0.849241	-8.423574
15	5.9989157	2.9099493	-7.9191494
16	6.5421896	0.2734492	-9.957045
17	4.7643857	0.4447618	-8.581519
18	5.737359	0.40508497	-10.988583
19	7.1367273	0.40606275	-10.821331
20	7.1451917	1.3659843	-10.215469
21	4.015198	0.63223237	-8.707445
22	5.4183526	1.0944074	-11.473672
23	6.602907	0.74808985	-10.073691
24	4.893203	0.354326	-8.574343
25	4.587841	-0.12435608	-8.525818
26	6.496679	1.2518141	-9.352555
27	4.9066243	0.83132416	-11.315326
28	4.691167	-0.19064522	-8.4458275
29	5.7790008	-0.04862725	-9.484538
30	7.4548182	0.015867496	-8.170711
31	6.647314	0.17307012	-8.21503
32	5.1595383	-0.3186657	-8.294828
33	5.8118014	-0.36552086	-9.198877
34	5.1407013	0.88933927	-8.652532
35	6.321107	0.4862153	-11.059567
36	3.984508	1.0433146	-11.409862
37	5.0472193	0.9323964	-11.02522
38	5.9928937	-0.3262142	-9.300656
39	4.8765	-0.31187838	-8.39126
40	7.34988	0.1822223	-8.269012
41	6.1489444	3.5428958	-9.178233
42	5.868869	0.3714931	-11.002154
43	7.4600787	-0.04229927	-8.1220255
44	3.6548824	0.86087865	-8.401798
45	5.6125045	-0.53981984	-9.122704
46	5.640469	-0.44724092	-9.027223
47	5.9904947	3.1317043	-9.1342745
48	7.0697894	0.52716285	-10.768657
49	4.6555166	2.1066763	-10.792721
50	7.2317743	4.115995	-9.7644
51	7.080196	0.4801853	-8.43763
52	4.98556	0.29252815	-8.377032
53	7.2832274	0.22867431	-8.215624
54	7.051339	1.3697228	-10.671776
