topic_id	x	y	z
0	-2.4486153	7.2014127	5.777205
1	7.149678	7.910814	0.84360284
2	2.471547	0.80549365	0.757567
3	-2.5485187	-3.353321	2.5872056
4	-5.8115187	3.5191443	8.292813
5	-0.6635198	2.4000764	-6.528409
6	-2.468542	-3.427269	2.6429756
7	8.86992	-1.855076	3.5467396
8	-5.8305364	3.5385015	8.312565
9	3.3712418	8.104323	14.373822
10	-0.47453958	11.122991	7.5069633
11	-2.5161722	-2.6849208	2.9365718
12	3.0379338	8.116669	14.566231
13	1.4409736	14.809329	7.73292
14	8.870001	-1.8551056	3.5467315
15	4.9668803	5.2969213	-2.884037
16	10.981601	2.4731858	17.266811
17	9.562488	6.369402	6.20035
18	-0.4632122	11.115353	7.5160584
19	-5.698668	-0.6334559	6.208184
20	-2.5438497	-3.2381501	2.7199428
21	-0.5451286	7.0203977	0.77400714
22	-1.8672051	12.267153	6.7126193
23	4.801911	3.4684815	14.766287
24	9.547911	6.355131	6.185854
25	2.61736	0.9623321	0.47535634
26	5.4088264	-0.8513193	-8.037476
27	3.3940287	8.135169	14.431376
28	2.6391046	0.97901744	0.5042256
29	0.21464454	5.1908727	10.951602
30	2.768439	-3.5960941	2.795056
31	11.695347	-2.9810078	2.59942
32	2.569353	1.0460837	-0.33208755
33	-0.12687361	5.140925	11.0136385
34	2.2876544	0.6282173	0.94873214
35	-11.124295	6.150509	7.4364276
36	11.07886	2.377154	17.173117
37	3.6410499	8.0901575	14.041654
38	12.190246	4.6728377	12.495053
39	2.539075	0.9932466	-0.06289253
40	4.2277474	-5.48297	3.777812
41	11.685757	5.85569	0.84783745
42	-2.6609004	1.7287482	6.140594
43	2.6732848	-3.6926935	2.700242
44	8.870087	-1.8550869	3.5467331
45	-0.015561458	5.387915	10.854121
46	-0.0028800648	5.3495984	10.878996
47	14.333367	5.6216965	6.5854774
48	-11.138949	6.1416264	7.4272666
49	7.06212	12.806782	6.205451
50	-5.6570935	10.456622	-2.6441658
51	5.434405	0.43188906	3.563713
52	5.8552017	0.13963974	13.068999
53	4.252824	-5.4564905	3.7522507
54	-2.6109715	-3.1648939	2.752261
55	14.331205	8.07271	3.568977
56	8.497537	2.8409932	2.9886537
57	10.310292	2.234843	-1.9804916
58	0.491393	5.180139	10.948347
59	8.103445	-4.2655253	2.8194206
60	8.81391	-5.177182	6.961175
61	0.30775648	13.656259	4.7955937
62	-0.5664541	2.4973185	-6.625781
63	3.4073188	18.633497	2.3511524
64	3.6033251	9.164587	8.1730795
65	14.378975	0.6763326	5.7177134
66	-4.790658	5.0289865	-1.3811663
67	2.2552645	0.59663904	0.9801538
68	-1.2965227	-7.767521	8.614427
69	-0.568362	2.4954214	-6.6237884
70	2.5964692	1.0796564	-0.39806536
71	-0.4750928	2.5888002	-6.717262
72	-2.6608374	1.7287197	6.1405625
73	-5.710044	3.4167333	8.188859
74	14.360138	5.648311	6.6120057
75	1.4216899	14.790573	7.716615
76	9.486972	12.579128	9.227579
77	8.747597	10.320439	3.6334474
78	3.4035294	8.175398	14.418171
79	5.4349136	0.4322675	3.5631618
80	3.4389498	18.66521	2.3196416
81	6.427407	-0.5454313	7.015276
