topic_id	family_id	family_label
57	554	Ad · Headlines · Newspapers · Watan · News
62	554	Ad · Headlines · Newspapers · Watan · News
85	554	Ad · Headlines · Newspapers · Watan · News
142	554	Ad · Headlines · Newspapers · Watan · News
154	554	Ad · Headlines · Newspapers · Watan · News
156	554	Ad · Headlines · Newspapers · Watan · News
165	554	Ad · Headlines · Newspapers · Watan · News
174	554	Ad · Headlines · Newspapers · Watan · News
195	554	Ad · Headlines · Newspapers · Watan · News
199	554	Ad · Headlines · Newspapers · Watan · News
205	554	Ad · Headlines · Newspapers · Watan · News
212	554	Ad · Headlines · Newspapers · Watan · News
220	554	Ad · Headlines · Newspapers · Watan · News
258	554	Ad · Headlines · Newspapers · Watan · News
274	554	Ad · Headlines · Newspapers · Watan · News
15	569	Required · Officer · Courses · Assistant · Jobs
50	569	Required · Officer · Courses · Assistant · Jobs
61	569	Required · Officer · Courses · Assistant · Jobs
119	569	Required · Officer · Courses · Assistant · Jobs
125	569	Required · Officer · Courses · Assistant · Jobs
128	569	Required · Officer · Courses · Assistant · Jobs
130	569	Required · Officer · Courses · Assistant · Jobs
135	569	Required · Officer · Courses · Assistant · Jobs
146	569	Required · Officer · Courses · Assistant · Jobs
171	569	Required · Officer · Courses · Assistant · Jobs
173	569	Required · Officer · Courses · Assistant · Jobs
176	569	Required · Officer · Courses · Assistant · Jobs
194	569	Required · Officer · Courses · Assistant · Jobs
198	569	Required · Officer · Courses · Assistant · Jobs
204	569	Required · Officer · Courses · Assistant · Jobs
214	569	Required · Officer · Courses · Assistant · Jobs
223	569	Required · Officer · Courses · Assistant · Jobs
226	569	Required · Officer · Courses · Assistant · Jobs
241	569	Required · Officer · Courses · Assistant · Jobs
257	569	Required · Officer · Courses · Assistant · Jobs
268	569	Required · Officer · Courses · Assistant · Jobs
272	569	Required · Officer · Courses · Assistant · Jobs
276	569	Required · Officer · Courses · Assistant · Jobs
283	569	Required · Officer · Courses · Assistant · Jobs
284	569	Required · Officer · Courses · Assistant · Jobs
285	569	Required · Officer · Courses · Assistant · Jobs
286	569	Required · Officer · Courses · Assistant · Jobs
13	501	God · Oh · Mercy · Victory · Speedy
49	501	God · Oh · Mercy · Victory · Speedy
63	501	God · Oh · Mercy · Victory · Speedy
75	501	God · Oh · Mercy · Victory · Speedy
